File,CheckpointPath,Architecture,BaseArch,Loss,Lambda,Samples,Source_NRMSE,Source_R2,Source_PDE_Residual,Recomputed_Joint_NRMSE,Recomputed_R2,Recomputed_PDE_Residual,EvalDataset,EvalSamples,ParamScalerSource,Norm_NRMSE_a,Norm_RMSE_a,Norm_TargetMean_a,Real_NRMSE_a,Real_RMSE_a,Real_TargetMean_a,Norm_NRMSE_b,Norm_RMSE_b,Norm_TargetMean_b,Real_NRMSE_b,Real_RMSE_b,Real_TargetMean_b,Norm_NRMSE_c,Norm_RMSE_c,Norm_TargetMean_c,Real_NRMSE_c,Real_RMSE_c,Real_TargetMean_c,Norm_NRMSE_delta,Norm_RMSE_delta,Norm_TargetMean_delta,Real_NRMSE_delta,Real_RMSE_delta,Real_TargetMean_delta
PaperPINN_CNN_Flex_L2_maxpool_pure_n16000_1_best.pth,paper_checkpoints\PaperPINN_CNN_Flex_L2_maxpool_pure_n16000_1_best.pth,"FlexCNN (L=2, maxpool)","FlexCNN (L=2, maxpool)",pure,,16000,0.049734674,0.9511421322822572,0.0801455720886588,0.049734674,0.9511421322822571,0.08014557208865881,turing_patterns_dataset_clean_test.npz,4000,turing_patterns_dataset_clean_test.npz,0.2091869,0.043065324,0.20587009,0.19500732,0.02882704,0.14782542,0.059038296,0.04156842,0.7040925,0.042114627,0.0648014,1.5386912,0.22314167,0.03440845,0.15420002,0.21898097,0.2370554,1.0825388,0.110405,0.06490046,0.58783984,0.09284821,11.679749,125.79401
PaperPINN_CNN_Flex_L2_maxpool_pure_n2000_1_best.pth,paper_checkpoints\PaperPINN_CNN_Flex_L2_maxpool_pure_n2000_1_best.pth,"FlexCNN (L=2, maxpool)","FlexCNN (L=2, maxpool)",pure,,2000,0.14208655,0.5567538142204285,0.221249707698822,0.14208655,0.5567538142204285,0.22124970769882202,turing_patterns_dataset_clean_test.npz,4000,turing_patterns_dataset_clean_test.npz,0.8553061,0.17608194,0.20587009,0.79733026,0.11786568,0.14782542,0.19279747,0.13574725,0.7040925,0.13753062,0.21161716,1.5386912,0.52857304,0.08150597,0.15420002,0.51871747,0.5615318,1.0825388,0.22314245,0.13117202,0.58783984,0.18765795,23.606245,125.79401
PaperPINN_CNN_Flex_L2_maxpool_pure_n4000_1_best.pth,paper_checkpoints\PaperPINN_CNN_Flex_L2_maxpool_pure_n4000_1_best.pth,"FlexCNN (L=2, maxpool)","FlexCNN (L=2, maxpool)",pure,,4000,0.1253453,0.6408592462539673,0.2522761995196342,0.1253453,0.6408592462539673,0.25227619951963426,turing_patterns_dataset_clean_test.npz,4000,turing_patterns_dataset_clean_test.npz,0.83893347,0.17271131,0.20587009,0.78206706,0.11560939,0.14782542,0.1586623,0.11171294,0.7040925,0.11318069,0.17415012,1.5386912,0.44047663,0.067921504,0.15420002,0.43226323,0.46794173,1.0825388,0.17102934,0.10053787,0.58783984,0.14383204,18.093208,125.79401
PaperPINN_CNN_Flex_L2_maxpool_pure_n8000_1_best.pth,paper_checkpoints\PaperPINN_CNN_Flex_L2_maxpool_pure_n8000_1_best.pth,"FlexCNN (L=2, maxpool)","FlexCNN (L=2, maxpool)",pure,,8000,0.06450191,0.9139215350151062,0.106664635181427,0.06450191,0.9139215350151062,0.106664635181427,turing_patterns_dataset_clean_test.npz,4000,turing_patterns_dataset_clean_test.npz,0.3295826,0.0678512,0.20587009,0.3072415,0.045418102,0.14782542,0.087154515,0.06136484,0.7040925,0.062171083,0.095662095,1.5386912,0.25570366,0.03942951,0.15420002,0.25093555,0.27164748,1.0825388,0.122409925,0.07195743,0.58783984,0.1029441,12.949751,125.79401
PaperPINN_CNN_Flex_L4_dilated_physical_lam0.1_n16000_1_best.pth,paper_checkpoints\PaperPINN_CNN_Flex_L4_dilated_physical_lam0.1_n16000_1_best.pth,"FlexCNN (L=4, dilated) (λ=0.1)","FlexCNN (L=4, dilated)",physical,0.1,16000,0.045477744,0.9587125778198242,0.0202287338152527,0.045477744,0.9587125778198242,0.02022873381525278,turing_patterns_dataset_clean_test.npz,4000,turing_patterns_dataset_clean_test.npz,0.21918613,0.045123868,0.20587009,0.20432863,0.030204965,0.14782542,0.06565464,0.04622694,0.7040925,0.046834376,0.07206364,1.5386912,0.1596705,0.024621194,0.15420002,0.1566934,0.1696267,1.0825388,0.088851914,0.052230693,0.58783984,0.07472251,9.399644,125.79401
PaperPINN_CNN_Flex_L4_dilated_physical_lam0.1_n2000_1_best.pth,paper_checkpoints\PaperPINN_CNN_Flex_L4_dilated_physical_lam0.1_n2000_1_best.pth,"FlexCNN (L=4, dilated) (λ=0.1)","FlexCNN (L=4, dilated)",physical,0.1,2000,0.077713974,0.8725172877311707,0.0650237590074539,0.077713974,0.8725172877311707,0.06502375900745391,turing_patterns_dataset_clean_test.npz,4000,turing_patterns_dataset_clean_test.npz,0.42249653,0.0869794,0.20587009,0.3938578,0.058222197,0.14782542,0.098879874,0.06962058,0.7040925,0.070535354,0.10853213,1.5386912,0.3114782,0.048029944,0.15420002,0.30567008,0.33089975,1.0825388,0.14437695,0.084870525,0.58783984,0.12141792,15.273646,125.79401
PaperPINN_CNN_Flex_L4_dilated_physical_lam0.1_n4000_1_best.pth,paper_checkpoints\PaperPINN_CNN_Flex_L4_dilated_physical_lam0.1_n4000_1_best.pth,"FlexCNN (L=4, dilated) (λ=0.1)","FlexCNN (L=4, dilated)",physical,0.1,4000,0.069198005,0.900503396987915,0.0453148101866245,0.069198005,0.900503396987915,0.045314810186624525,turing_patterns_dataset_clean_test.npz,4000,turing_patterns_dataset_clean_test.npz,0.3801393,0.07825931,0.20587009,0.35437152,0.052385118,0.14782542,0.096859954,0.06819837,0.7040925,0.069094375,0.106314905,1.5386912,0.23315589,0.035952643,0.15420002,0.22880827,0.24769384,1.0825388,0.12399581,0.07288968,0.58783984,0.10427789,13.117533,125.79401
PaperPINN_CNN_Flex_L4_dilated_physical_lam0.1_n8000_1_best.pth,paper_checkpoints\PaperPINN_CNN_Flex_L4_dilated_physical_lam0.1_n8000_1_best.pth,"FlexCNN (L=4, dilated) (λ=0.1)","FlexCNN (L=4, dilated)",physical,0.1,8000,0.050679956,0.9483631253242492,0.0286442941389977,0.050679956,0.9483631253242493,0.028644294138997793,turing_patterns_dataset_clean_test.npz,4000,turing_patterns_dataset_clean_test.npz,0.26973644,0.055530664,0.20587009,0.25145236,0.03717105,0.14782542,0.06405056,0.045097522,0.7040925,0.04569002,0.07030283,1.5386912,0.16328083,0.025177907,0.15420002,0.16023631,0.17346203,1.0825388,0.1016672,0.05976403,0.58783984,0.08549995,10.755382,125.79401
PaperPINN_CNN_Flex_L4_dilated_pure_n16000_1_best.pth,paper_checkpoints\PaperPINN_CNN_Flex_L4_dilated_pure_n16000_1_best.pth,"FlexCNN (L=4, dilated)","FlexCNN (L=4, dilated)",pure,,16000,0.053827904,0.9464210867881776,0.0472215133346617,0.053827904,0.9464210867881775,0.04722151333466172,turing_patterns_dataset_clean_test.npz,4000,turing_patterns_dataset_clean_test.npz,0.23873758,0.04914893,0.20587009,0.22255506,0.032899294,0.14782542,0.060752243,0.0427752,0.7040925,0.04333721,0.066682585,1.5386912,0.16853921,0.02598875,0.15420002,0.16539663,0.17904827,1.0825388,0.12726232,0.074809864,0.58783984,0.10702508,13.463114,125.79401
PaperPINN_CNN_Flex_L4_dilated_pure_n2000_1_best.pth,paper_checkpoints\PaperPINN_CNN_Flex_L4_dilated_pure_n2000_1_best.pth,"FlexCNN (L=4, dilated)","FlexCNN (L=4, dilated)",pure,,2000,0.10591553,0.7703332901000977,0.1192316783815622,0.10591553,0.7703332901000977,0.11923167838156223,turing_patterns_dataset_clean_test.npz,4000,turing_patterns_dataset_clean_test.npz,0.5765521,0.118694834,0.20587009,0.53747106,0.07945189,0.14782542,0.14441167,0.10167917,0.7040925,0.103015214,0.1585086,1.5386912,0.33955368,0.052359182,0.15420002,0.33322233,0.36072612,1.0825388,0.1980305,0.11641022,0.58783984,0.16653933,20.94965,125.79401
